protocol,method,schedule,role,target,region,r2,mae,rmse,finale,relative_finale,worste,mape,auc_error,tailmean_error,n_points
strict,KMTL-m3,wsd,test,raw,tail20,0.1885345886786384,0.0374761092263374,0.0469260550011129,0.0127972426659663,0.0048552899077475,0.1484562658423662,0.0137915417381443,0.0375171970933504,0.0196661603514969,330
strict,KMTL-m3,wsd,test,raw,decay,0.1913580902044479,0.0382540020126885,0.0478977188887614,0.0127972426659663,0.0048552899077475,0.1484562658423662,0.0140586744642353,0.038218662921428,0.0209659721574606,340
strict,KMTL-m3,wsd,test,raw,final1000,0.001575677587283,0.0339285951006665,0.042793455065183,0.0127972426659663,0.0048552899077475,0.1106513370774608,0.0127940913875377,0.0337953638618816,0.0032023351691425,51
strict,KMTL-m3,wsd,test,raw,stable,0.8862224522235604,0.0464106941915914,0.0583629051185734,0.0966960460180379,0.034428423482385,0.2358415542515368,0.0159421371382605,0.0463334718830597,0.0258597683259806,1307
strict,KMTL-m3,811,extra_unseen,ema,full,0.9259047539401242,0.0358876259915058,0.0501232815930367,0.0198279940161678,0.0074441252242937,0.4104313130866828,0.012302065186226,0.0357787304705095,0.0319080317250626,1647
strict,KMTL-m3,811,extra_unseen,ema,tail20,0.3261421732427774,0.0157150918986781,0.0165222578681146,0.0198279940161678,0.0074441252242937,0.030986599232238,0.0058405853692415,0.0156856323098468,0.0157150918986781,330
strict,KMTL-m3,811,extra_unseen,ema,decay,0.3704808383631103,0.0168241400793934,0.018783350585058,0.0198279940161678,0.0074441252242937,0.07093764059818,0.0062369895148967,0.0167398961937658,0.0168241400793935,340
strict,KMTL-m3,811,extra_unseen,ema,final1000,-55.88255087170267,0.0177640415464692,0.0179877850973031,0.0198279940161678,0.0074441252242937,0.024788225996164,0.0066655292119259,0.0178141518046272,0.0177640415464699,51
strict,KMTL-m3,811,extra_unseen,ema,stable,0.9072851257769778,0.0408467577513514,0.0554447322433263,0.0701161634764599,0.0252032283715491,0.4104313130866828,0.0138798201428075,0.040694057153702,0.0358319209060327,1307
strict,KMTL-m3,811,extra_unseen,raw,full,0.8944368664515844,0.0456526634261106,0.0574349997971889,0.0034487835237921,0.0013062092988394,0.2267423091801257,0.0158589509149814,0.0456192993705547,0.0284689906878603,1647
strict,KMTL-m3,811,extra_unseen,raw,tail20,0.0665160739062011,0.0346580036621188,0.0437435651447772,0.0034487835237921,0.0013062092988394,0.1547285046505102,0.0128322818307067,0.0346879085838086,0.0173097768013943,330
strict,KMTL-m3,811,extra_unseen,raw,decay,0.0850110058002864,0.0349438600582908,0.0439797918709755,0.0034487835237921,0.0013062092988394,0.1547285046505102,0.0129290598082292,0.0349703763810623,0.0176779381981893,340
strict,KMTL-m3,811,extra_unseen,raw,final1000,-0.3081068739582908,0.0320261190594119,0.0425699869579495,0.0034487835237921,0.0013062092988394,0.1547285046505102,0.011910094964287,0.0320805888677757,0.0205753402290596,51
strict,KMTL-m3,811,extra_unseen,raw,stable,0.8776979462838314,0.0484384271178159,0.0604462734726088,0.062821772717867,0.022640625329265,0.2267423091801257,0.0166211261072506,0.048375779364102,0.0312761504785932,1307
strict,FSL-MPL+ small,cosine,fit,ema,full,0.9700764000757928,0.0123719550000857,0.0335789945715643,0.0002880060291126,0.0001079891989323,0.3892248646122742,0.003907676573245,0.0122611503340343,0.0038982473851665,1647
strict,FSL-MPL+ small,cosine,fit,ema,tail20,0.8585337195740059,0.0024440448134865,0.0031612853321756,0.0002880060291126,0.0001079891989323,0.0103085522086447,0.0009134237194517,0.0024493884081854,0.0011919584757,330
strict,FSL-MPL+ small,cosine,fit,ema,decay,0.8585337195740059,0.0024440448134865,0.0031612853321756,0.0002880060291126,0.0001079891989323,0.0103085522086447,0.0009134237194517,0.0024493884081854,0.0011919584757,330
strict,FSL-MPL+ small,cosine,fit,ema,final1000,-0.0987650935373378,0.0017305602593538,0.0023440729046718,0.0002880060291126,0.0001079891989323,0.0063147654190691,0.0006486895464303,0.0017111048954905,0.0003427745689985,51
strict,FSL-MPL+ small,cosine,fit,ema,stable,0.9646078312615184,0.0148595862541311,0.0375176503160534,0.0008622027693481,0.0003201276568621,0.3892248646122742,0.004657944942077,0.0147226683609422,0.0051736976008731,1317
strict,FSL-MPL+ small,cosine,fit,raw,full,0.9421884863423534,0.0348130742384689,0.0449196445970104,0.0205239191717012,0.0077560635240719,0.2160127320993292,0.0122184891824268,0.0347754749936493,5.9723244329124014e-05,1647
strict,FSL-MPL+ small,cosine,fit,raw,tail20,0.0455252809563925,0.0311925750267692,0.0397467403846192,0.0205239191717012,0.0077560635240719,0.1375894406891422,0.0116707069594544,0.0312224309524003,0.0017589794971812,330
strict,FSL-MPL+ small,cosine,fit,raw,decay,0.0455252809563925,0.0311925750267692,0.0397467403846192,0.0205239191717012,0.0077560635240719,0.1375894406891422,0.0116707069594544,0.0312224309524003,0.0017589794971812,330
strict,FSL-MPL+ small,cosine,fit,raw,final1000,-0.0180876232288007,0.0339594953075982,0.0432002246567054,0.0205239191717012,0.0077560635240719,0.1195096583675954,0.0128200689645007,0.0338322276708797,0.0060286185223326,51
strict,FSL-MPL+ small,cosine,fit,raw,stable,0.9412444451467916,0.0357202608290998,0.046125011215905,0.0008019713907558,0.0002977709801685,0.2160127320993292,0.0123557466870441,0.0356814156949873,0.000515434637418,1317
strict,FSL-MPL+ small,wsd,test,ema,full,0.9473549669915642,0.0275607631042361,0.0415965224808069,0.0137032554600131,0.0051548216003166,0.3829402658958267,0.0093547873645866,0.0274570200923444,0.019638466883423,1647
strict,FSL-MPL+ small,wsd,test,ema,tail20,0.7184756466068087,0.0136489082638445,0.0178317831340191,0.0137032554600131,0.0051548216003166,0.048155214129907,0.0050179986340431,0.0136005328184838,0.0039115526361865,330
strict,FSL-MPL+ small,wsd,test,ema,decay,0.6937038041513173,0.0147879812246471,0.0197333563907246,0.0137032554600131,0.0051548216003166,0.0551493638424158,0.005424737086582,0.0147340659844912,0.0053370184095675,340
strict,FSL-MPL+ small,wsd,test,ema,final1000,-18.83457421149873,0.0127600418895477,0.0129531009636396,0.0137032554600131,0.0051548216003166,0.0180100905776789,0.0047944549607922,0.0127191152939967,0.0127600418895479,51
strict,FSL-MPL+ small,wsd,test,ema,stable,0.9374523460283808,0.0308834454600588,0.0455969333587465,0.0505528815602578,0.01819994792726,0.3829402658958267,0.0103771416832718,0.0307411306604661,0.0233588130816708,1307
strict,FSL-MPL+ small,wsd,test,raw,full,0.914394769489752,0.0401210738408625,0.0510020290951403,0.0363087994114463,0.0137756040067646,0.2183587137628606,0.0139532932607115,0.0400805233513463,0.0154348419165124,1647
strict,FSL-MPL+ small,wsd,test,raw,tail20,0.3076764700978993,0.0340413117133431,0.0433444588287214,0.0363087994114463,0.0137756040067646,0.1330311742097483,0.0126086979608986,0.0340596074164651,0.0020590630532359,330
strict,FSL-MPL+ small,wsd,test,raw,decay,0.3197786702714132,0.0346144387502815,0.0439300634796422,0.0363087994114463,0.0137756040067646,0.1330311742097483,0.0128015801389957,0.0345560776287928,0.0034275502477729,340
strict,FSL-MPL+ small,wsd,test,raw,final1000,-0.1878225100342021,0.0368218779582492,0.0466762063912045,0.0363087994114463,0.0137756040067646,0.1330311742097483,0.013984808006775,0.0367176413732134,0.0188436518479475,51
strict,FSL-MPL+ small,wsd,test,raw,stable,0.907278789670211,0.0415535573380297,0.0526863561046539,0.0815249955264705,0.0290268029145813,0.2183587137628606,0.0142528972862535,0.0414862359595427,0.0185583913942255,1307
strict,FSL-MPL+ small,811,extra_unseen,ema,full,0.9454107556438128,0.0282773199760935,0.0430227201665619,0.0121417557581366,0.0045584414758577,0.3900268605942978,0.009595585295458,0.0281723339565308,0.0243563189619249,1647
strict,FSL-MPL+ small,811,extra_unseen,ema,tail20,0.7978679025212536,0.0076022655273415,0.0090490481447578,0.0121417557581366,0.0045584414758577,0.0200311978139868,0.0028285387562658,0.0075857623892949,0.0074531653404483,330
strict,FSL-MPL+ small,811,extra_unseen,ema,decay,0.7804293803365286,0.0084548218164256,0.0110931708391129,0.0121417557581366,0.0045584414758577,0.0553360244608627,0.0031342961365779,0.0083802375441746,0.0083101069291471,340
strict,FSL-MPL+ small,811,extra_unseen,ema,final1000,-19.098995871783742,0.0103348139520059,0.010692403487689,0.0121417557581366,0.0045584414758577,0.0173224980321844,0.0038775973858926,0.0103847026298225,0.010334813952006,51
strict,FSL-MPL+ small,811,extra_unseen,ema,stable,0.9306189675046056,0.033433899451447,0.0479629584079722,0.0549451129848925,0.0197500000256536,0.3900268605942978,0.0112764103253121,0.0332891428761498,0.0285305439742775,1307
strict,FSL-MPL+ small,811,extra_unseen,raw,full,0.9139715362754872,0.0408389691450122,0.051849141620589,0.0111350217818233,0.0042173331245229,0.2092594686914495,0.0141769723335375,0.0408065439793931,0.0209172779247226,1647
strict,FSL-MPL+ small,811,extra_unseen,raw,tail20,0.1797519252811626,0.0320877500151139,0.0410046739904115,0.0111350217818233,0.0042173331245229,0.1471473452767604,0.011913716184449,0.0320722271181821,0.0090478502431645,330
strict,FSL-MPL+ small,811,extra_unseen,raw,decay,0.201316928666265,0.0322362541001674,0.0410896530610343,0.0111350217818233,0.0042173331245229,0.1471473452767604,0.0119617765727185,0.0322664579833564,0.0091639050479428,340
strict,FSL-MPL+ small,811,extra_unseen,raw,final1000,-0.1268633614527361,0.0298696087090413,0.0395109555064426,0.0111350217818233,0.0042173331245229,0.1471473452767604,0.0111287071166991,0.029875586516785,0.0131461126345957,51
strict,FSL-MPL+ small,811,extra_unseen,raw,stable,0.9013060394450256,0.0430768598223245,0.054299764425609,0.0476507222262996,0.0171730612162063,0.2092594686914495,0.0147532283080428,0.0430237267578882,0.023974773546838,1307
strict,FSL-MPL+ source,cosine,fit,ema,full,0.9752422895491488,0.0113033394897527,0.0305433035365564,0.0007830535379977,0.0002936095627929,0.360320901670474,0.0035793512553562,0.011200515286767,0.0041525249585006,1647
strict,FSL-MPL+ source,cosine,fit,ema,tail20,0.8583122428234702,0.0024523890640152,0.0031637589866021,0.0007830535379977,0.0002936095627929,0.0104067947098007,0.0009165369772592,0.0024568517470819,0.0011658944981669,330
strict,FSL-MPL+ source,cosine,fit,ema,decay,0.8583122428234702,0.0024523890640152,0.0031637589866021,0.0007830535379977,0.0002936095627929,0.0104067947098007,0.0009165369772592,0.0024568517470819,0.0011658944981669,330
strict,FSL-MPL+ source,cosine,fit,ema,final1000,-0.0960313779730475,0.0017590016177333,0.0023411550747538,0.0007830535379977,0.0002936095627929,0.0066803729553064,0.0006592763493146,0.0017374481806808,1.1474922850585044e-05,51
