method,lambda,restart,objective,success,L0,A,C,alpha
MTL,0.95,44,1e+30,True,2.5572553448599242,560.1542515962224,4.3617733916374455,0.8594973223462172
MTL,0.95,45,0.030026625717634686,True,2.3705835427680975,5.782946135791462,0.0019905853659682267,0.180345979415844
MTL,0.95,46,0.022487495870930362,True,2.276736797055796,9.295379871244341,0.00010139885939038746,0.24109486530503776
MTL,0.95,47,0.009824546800625883,True,2.163757710573413,18.22114051064679,0.000616678182244143,0.32949339528623633
MTL,0.95,48,0.0004968703686993395,True,2.4335869858605683,5.2165726660515,0.008924238537427345,0.26187699654277957
MTL,0.95,49,1e+30,True,2.558989957774524,8.463400704783464,0.6235173951913666,0.2528655077999441
MTL,0.97,0,1e+30,True,2.201950674456253,8.11085488300676,0.41644111383129284,0.21533301715278325
MTL,0.97,1,0.00012598837065067934,True,2.8097161363643206,3602.568355175509,0.006022349143530013,1.155951217103574
MTL,0.97,2,0.01152864145004061,True,2.458616293840312,28.95022909279708,0.0004007788395731954,0.42133781376695306
MTL,0.97,3,1e+30,True,2.374867804058605,56.9932187578339,9.565625281970878,0.5118789788863927
MTL,0.97,4,1e+30,True,2.50782329655007,2698.1878615786914,1.0655337181221145,1.0822753995334276
MTL,0.97,5,1e+30,True,1.8902617081737458,89.65017988614734,4.549944643810059,0.5403527755210092
MTL,0.97,6,0.005522078748947867,True,2.574789656279978,62.22958010710466,0.003241667801139395,0.543184910377258
MTL,0.97,7,0.00019932130543537642,True,2.863650521250944,47707.46987984927,0.007006313828762807,1.511969187182306
MTL,0.97,8,1e+30,True,2.026622196235951,172.46402194151767,0.2767689197372865,0.6445622659988491
MTL,0.97,9,0.00012893441519618248,True,2.8216437582603806,5080.792284855928,0.006246172506074328,1.2049762041402627
MTL,0.97,10,0.0001620279122243723,True,2.7861562317682877,1627.3222368842066,0.005678574341880519,1.0467527154184704
MTL,0.97,11,1e+30,True,2.0439525536629435,161.51975222419378,2.3566949211866324,0.6363281429464014
MTL,0.97,12,0.019199528999133665,True,2.521622699158023,16.21540583973341,0.0001324722193973663,0.3433537175401789
MTL,0.97,13,1e+30,True,2.5045018760750604,1294.88210999117,1.2130015126161142,0.9757009403288123
MTL,0.97,14,1e+30,True,2.20412895530366,12.238289482261331,0.5293829487004643,0.27504489597106857
MTL,0.97,15,0.00035164859515923627,True,2.614940434657132,40.753361743037324,0.004666493437961655,0.5428316430149017
MTL,0.97,16,0.0006137701429811865,True,1.7377421228164949,13.344725552016747,0.0005046459774803293,0.2688798149143305
MTL,0.97,17,1e+30,True,2.519672063015446,6.33759504538237,0.11776745074448235,0.20719271233709732
MTL,0.97,18,1e+30,True,2.31253960240273,6.603508901860594,0.9291137305268498,0.1945864260709439
MTL,0.97,19,0.00024939937448885933,True,2.7275371477830137,300.7476468099475,0.005144215462105068,0.8167903376542707
MTL,0.97,20,1e+30,True,1.9592016151937204,319.69750006566204,1.5090036163233747,0.7291103728611805
MTL,0.97,21,0.017581090722690252,True,2.319151822379522,13.05255965308545,0.0004323664604679003,0.2937643994011726
MTL,0.97,22,1e+30,True,2.257772251278862,23877.41250544715,4.850050877618895,1.3758917841411762
MTL,0.97,23,0.009824997153241966,True,2.0839588938322535,8.621289112371462,0.009818831568092695,0.21513278995612278
